CVD_ID,Date_Published,Date_Modified,Vendor,Product,Attack_Vector,Attack_Complexity,User_Interaction,Privileges_Required,Confidentiality_Impact,Integrity_Impact,Availability_Impact
CVE-2018-11092,2018-05-21T14:29Z,2018-06-25T15:05Z,admin_notes_project,admin_notes,NETWORK,LOW,REQUIRED,NONE,NONE,HIGH,NONE
CVE-2018-11093,2018-05-22T18:29Z,2018-06-26T18:57Z,,,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11094,2018-05-15T19:29Z,2018-06-22T16:20Z,intelbras,ncloud_300_firmware,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11095,2018-05-15T00:29Z,2018-06-20T14:57Z,libming,libming,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11096,2018-05-21T14:29Z,2018-06-25T15:04Z,horse_market_sell_&_rent_portal_project,horse_market_sell_&_rent_portal,NETWORK,LOW,REQUIRED,NONE,NONE,HIGH,NONE
CVE-2018-11097,2018-05-15T01:29Z,2018-06-19T15:04Z,cstring_project,cstring,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-11098,2018-05-15T01:29Z,2018-06-19T15:59Z,frog_cms_project,frog_cms,NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-11099,2018-05-17T19:29Z,2018-06-20T15:03Z,vcftools_project,vcftools,LOCAL,LOW,REQUIRED,NONE,HIGH,NONE,NONE
CVE-2018-11100,2018-05-15T01:29Z,2018-06-20T14:57Z,libming,libming,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11101,2018-05-17T19:29Z,2018-06-19T18:24Z,signal,signal-desktop,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11102,2018-05-15T02:29Z,2018-06-19T16:25Z,libav,libav,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-11105,2018-05-15T15:29Z,2018-06-19T15:13Z,,,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-1111,2018-05-17T16:29Z,2018-07-07T01:29Z,redhat,enterprise_virtualization,ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11116,2018-06-19T21:29Z,2018-08-13T12:46Z,openwrt,openwrt,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11117,2018-05-17T13:29Z,2018-06-15T19:37Z,ilias,ilias,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11118,2018-05-17T13:29Z,2018-06-15T19:43Z,ilias,ilias,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11119,2018-05-17T13:29Z,2018-06-15T19:39Z,ilias,ilias,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-1112,2018-04-25T12:29Z,2018-06-04T13:44Z,gluster,glusterfs,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11120,2018-05-17T13:29Z,2018-06-15T19:39Z,ilias,ilias,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11124,2018-07-06T14:29Z,2018-09-02T13:52Z,,,NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE
CVE-2018-11126,2018-05-15T17:29Z,2018-06-19T15:32Z,doorgets,doorgets,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11127,2018-05-15T17:29Z,2018-06-19T16:19Z,e107,e107,NETWORK,LOW,REQUIRED,NONE,NONE,HIGH,NONE
CVE-2018-11128,2018-05-17T19:29Z,2018-06-20T15:26Z,pdfparser,pdfparser,LOCAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11129,2018-05-17T19:29Z,2018-06-20T15:04Z,vcftools_project,vcftools,LOCAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-1113,2018-07-03T01:29Z,2018-09-05T20:23Z,,,LOCAL,LOW,NONE,LOW,LOW,LOW,LOW
CVE-2018-11130,2018-05-17T19:29Z,2018-06-20T15:05Z,vcftools_project,vcftools,LOCAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11132,2018-05-31T18:29Z,2018-06-29T18:53Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11133,2018-05-31T18:29Z,2018-06-28T17:20Z,quest,kace_system_management_appliance,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11134,2018-05-31T18:29Z,2018-06-29T18:50Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11135,2018-05-31T18:29Z,2018-06-28T16:17Z,quest,kace_system_management_appliance,NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11136,2018-05-31T18:29Z,2018-06-29T18:50Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11137,2018-05-31T18:29Z,2018-06-28T13:31Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE
CVE-2018-11138,2018-05-31T18:29Z,2018-06-30T01:29Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11139,2018-05-31T18:29Z,2018-06-28T13:33Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11140,2018-05-31T18:29Z,2018-07-02T15:51Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11141,2018-05-31T18:29Z,2018-06-29T18:52Z,quest,kace_system_management_appliance,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11142,2018-05-31T18:29Z,2018-07-05T13:55Z,quest,kace_system_management_appliance,LOCAL,LOW,NONE,LOW,NONE,NONE,HIGH
CVE-2018-11143,2018-06-02T01:29Z,2018-06-08T13:16Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11144,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11145,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11146,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11147,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11148,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11149,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-1115,2018-05-10T19:29Z,2018-08-28T10:29Z,postgresql,postgresql,NETWORK,LOW,NONE,NONE,NONE,HIGH,HIGH
CVE-2018-11150,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11151,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-11152,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11153,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11154,2018-06-02T01:29Z,2018-06-08T13:20Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11155,2018-06-02T01:29Z,2018-06-08T13:21Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11156,2018-06-02T01:29Z,2018-06-08T13:21Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11157,2018-06-02T01:29Z,2018-06-08T13:21Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11158,2018-06-02T01:29Z,2018-06-08T13:21Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11159,2018-06-02T01:29Z,2018-06-08T13:25Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-1116,2018-07-10T19:29Z,2018-09-11T19:14Z,polkit_project,polkit,LOCAL,LOW,NONE,LOW,HIGH,NONE,HIGH
CVE-2018-11160,2018-06-02T01:29Z,2018-06-08T13:26Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11161,2018-06-02T01:29Z,2018-06-08T13:26Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11162,2018-06-02T01:29Z,2018-06-08T13:26Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11163,2018-06-02T01:29Z,2018-06-08T13:26Z,,,NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-11164,2018-06-02T01:29Z,2018-06-08T13:26Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11165,2018-06-02T01:29Z,2018-06-08T13:28Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11166,2018-06-02T01:29Z,2018-06-08T13:28Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11167,2018-06-02T01:29Z,2018-06-08T13:32Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11168,2018-06-02T01:29Z,2018-06-08T13:50Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11169,2018-06-02T01:29Z,2018-06-08T13:50Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-1117,2018-06-20T01:29Z,2018-08-13T12:49Z,redhat,enterprise_virtualization,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11170,2018-06-02T01:29Z,2018-06-08T13:50Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11171,2018-06-02T01:29Z,2018-06-08T13:51Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11172,2018-06-02T01:29Z,2018-06-08T13:51Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11173,2018-06-02T01:29Z,2018-06-08T13:51Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11174,2018-06-02T01:29Z,2018-06-08T13:51Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11175,2018-06-02T01:29Z,2018-06-08T13:53Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11176,2018-06-02T01:29Z,2018-06-08T13:51Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11177,2018-06-02T01:29Z,2018-06-08T13:51Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11178,2018-06-02T01:29Z,2018-06-08T13:53Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11179,2018-06-02T01:29Z,2018-06-08T13:55Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-1118,2018-05-10T22:29Z,2018-09-11T10:29Z,linux,linux_kernel,LOCAL,LOW,NONE,LOW,HIGH,NONE,NONE
CVE-2018-11180,2018-06-02T01:29Z,2018-06-08T13:58Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11181,2018-06-02T01:29Z,2018-06-08T15:37Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11182,2018-06-02T01:29Z,2018-06-08T15:37Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11183,2018-06-02T01:29Z,2018-06-08T15:37Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11184,2018-06-02T01:29Z,2018-06-08T15:37Z,,,NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-11185,2018-06-02T01:29Z,2018-06-08T15:38Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11186,2018-06-02T01:29Z,2018-06-08T15:38Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11187,2018-06-02T01:29Z,2018-06-08T15:38Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11188,2018-06-02T01:29Z,2018-06-08T15:38Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11189,2018-06-02T01:29Z,2018-06-08T15:40Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11190,2018-06-02T01:29Z,2018-06-08T15:40Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11191,2018-06-02T01:29Z,2018-06-08T15:40Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11192,2018-06-02T01:29Z,2018-06-08T15:41Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11193,2018-06-02T01:29Z,2018-06-08T15:41Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11194,2018-06-02T01:29Z,2018-06-08T15:41Z,,,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11195,2018-06-01T19:29Z,2018-07-03T14:52Z,mahara,mahara,PHYSICAL,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11196,2018-06-01T19:29Z,2018-07-03T14:51Z,mahara,mahara,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-1120,2018-06-20T13:29Z,2018-08-29T10:29Z,redhat,enterprise_mrg,NETWORK,HIGH,NONE,LOW,NONE,NONE,HIGH
CVE-2018-11202,2018-05-16T15:29Z,2018-06-18T14:02Z,hdfgroup,hdf5,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11203,2018-05-16T15:29Z,2018-06-15T19:27Z,hdfgroup,hdf5,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11204,2018-05-16T15:29Z,2018-06-15T19:21Z,hdfgroup,hdf5,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11205,2018-05-16T15:29Z,2018-06-15T19:27Z,hdfgroup,hdf5,NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,HIGH
CVE-2018-11206,2018-05-16T15:29Z,2018-08-30T00:29Z,hdfgroup,hdf5,NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,HIGH
CVE-2018-11207,2018-05-16T15:29Z,2018-08-30T00:29Z,hdfgroup,hdf5,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11208,2018-05-16T15:29Z,2018-06-18T14:29Z,zblogcn,z-blogphp,NETWORK,LOW,REQUIRED,HIGH,LOW,LOW,NONE
CVE-2018-11209,2018-05-16T15:29Z,2018-06-18T14:40Z,zblogcn,z-blogphp,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-1121,2018-06-13T20:29Z,2018-08-10T16:56Z,procps__project,procps,NETWORK,HIGH,NONE,NONE,NONE,HIGH,NONE
CVE-2018-11210,2018-05-16T15:29Z,2018-06-20T14:53Z,tinyxml2_project,tinyxml2,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11212,2018-05-16T17:29Z,2018-07-12T01:29Z,ijg,libjpeg,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11213,2018-05-16T17:29Z,2018-07-12T01:29Z,ijg,libjpeg,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11214,2018-05-16T17:29Z,2018-07-12T01:29Z,ijg,libjpeg,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11218,2018-06-17T17:29Z,2018-08-14T14:01Z,redislabs,redis,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11219,2018-06-17T17:29Z,2018-08-14T13:59Z,redislabs,redis,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-1122,2018-05-23T14:29Z,2018-08-17T10:29Z,canonical,ubuntu_linux,LOCAL,HIGH,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11220,2018-05-31T15:29Z,2018-07-06T15:06Z,bitmain,antminer_d3_firmware,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11221,2018-06-16T01:29Z,2018-08-14T14:34Z,artica,pandora_fms,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11222,2018-06-16T01:29Z,2018-08-14T14:33Z,artica,pandora_fms,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE
CVE-2018-11223,2018-06-16T01:29Z,2018-08-02T19:39Z,,,NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE
CVE-2018-11224,2018-05-17T04:29Z,2018-06-25T17:10Z,libav,libav,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11225,2018-05-17T04:29Z,2018-06-25T17:11Z,libming,libming,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11226,2018-05-17T04:29Z,2018-06-20T14:27Z,libming,libming,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11228,2018-06-08T01:29Z,2018-08-14T10:29Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11229,2018-06-08T01:29Z,2018-08-14T10:29Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-1123,2018-05-23T14:29Z,2018-08-17T10:29Z,canonical,ubuntu_linux,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-11230,2018-05-17T12:29Z,2018-06-20T14:35Z,jbig2enc_project,jbig2enc,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11231,2018-05-23T16:29Z,2018-06-26T14:07Z,divido,divido,NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11232,2018-05-18T04:29Z,2018-06-19T15:07Z,linux,linux_kernel,LOCAL,LOW,NONE,LOW,NONE,NONE,HIGH
CVE-2018-11233,2018-05-30T04:29Z,2018-07-12T01:29Z,git-scm,git,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE
CVE-2018-11235,2018-05-30T04:29Z,2018-07-12T01:29Z,git-scm,git,LOCAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11236,2018-05-18T16:29Z,2018-06-19T15:37Z,gnu,glibc,NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11237,2018-05-18T16:29Z,2018-06-20T14:33Z,gnu,glibc,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11239,2018-05-19T18:29Z,2018-06-26T18:41Z,hexagontoken,hexagon,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-1124,2018-05-23T13:29Z,2018-07-28T01:29Z,canonical,ubuntu_linux,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11242,2018-05-20T14:29Z,2018-06-26T17:04Z,makemytrip,makemytrip,NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE
CVE-2018-11243,2018-05-18T17:29Z,2018-06-20T14:34Z,upx_project,upx,LOCAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11244,2018-05-18T17:29Z,2018-06-18T13:46Z,,,NETWORK,LOW,NONE,NONE,NONE,LOW,NONE
CVE-2018-11245,2018-05-18T18:29Z,2018-06-19T16:02Z,misp-project,misp,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11248,2018-05-18T18:29Z,2018-06-20T14:38Z,liulishuo,filedownloader,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-1125,2018-05-23T14:29Z,2018-08-17T10:29Z,canonical,ubuntu_linux,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-11251,2018-05-18T19:29Z,2018-07-28T01:29Z,imagemagick,imagemagick,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11254,2018-05-18T19:29Z,2018-06-15T19:40Z,podofo_project,podofo,LOCAL,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11255,2018-05-18T19:29Z,2018-06-15T19:38Z,podofo_project,podofo,LOCAL,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11256,2018-05-18T19:29Z,2018-06-18T14:43Z,podofo_project,podofo,NETWORK,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-11257,2018-07-06T17:29Z,2018-09-10T13:59Z,qualcomm,sd_205_firmware,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11258,2018-07-06T17:29Z,2018-09-06T15:34Z,qualcomm,mdm9206_firmware,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11259,2018-07-06T17:29Z,2018-09-11T16:02Z,qualcomm,mdm9206_firmware,LOCAL,LOW,NONE,NONE,HIGH,HIGH,NONE
CVE-2018-1126,2018-05-23T13:29Z,2018-07-28T01:29Z,canonical,ubuntu_linux,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-1128,2018-07-10T14:29Z,2018-09-12T19:05Z,ceph,ceph,ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-1129,2018-07-10T14:29Z,2018-09-12T12:51Z,ceph,ceph,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-1130,2018-05-10T13:29Z,2018-07-20T01:29Z,canonical,ubuntu_linux,LOCAL,LOW,NONE,LOW,NONE,NONE,HIGH
CVE-2018-11304,2018-07-06T19:29Z,2018-09-07T14:20Z,google,android,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11309,2018-05-28T16:29Z,2018-06-28T13:29Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-1131,2018-05-15T13:29Z,2018-06-22T16:08Z,infinispan,infinispan,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11311,2018-05-20T22:29Z,2018-06-26T17:15Z,myscada,mypro,NETWORK,LOW,NONE,NONE,HIGH,HIGH,NONE
CVE-2018-11314,2018-07-03T16:29Z,2018-09-11T18:12Z,roku,roku_firmware,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11315,2018-05-20T13:29Z,2018-07-04T01:29Z,radiothermostat,ct50_firmware,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-11316,2018-07-03T16:29Z,2018-09-11T18:21Z,sonos,sonos_firmware,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-11319,2018-05-20T20:29Z,2018-08-05T01:29Z,syntastic_project,syntastic,NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-1132,2018-06-20T13:29Z,2018-08-10T16:57Z,opendaylight,sdninterfaceapp,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11320,2018-05-21T14:29Z,2018-06-26T17:14Z,octopus,octopus_deploy,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11321,2018-05-22T15:29Z,2018-06-22T16:08Z,joomla,joomla!,NETWORK,LOW,NONE,LOW,NONE,HIGH,NONE
CVE-2018-11322,2018-05-22T15:29Z,2018-06-22T16:11Z,joomla,joomla!,NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11323,2018-05-22T15:29Z,2018-06-22T16:11Z,joomla,joomla!,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11324,2018-05-22T15:29Z,2018-06-22T16:13Z,joomla,joomla!,NETWORK,HIGH,NONE,NONE,NONE,HIGH,NONE
CVE-2018-11325,2018-05-22T15:29Z,2018-06-22T16:15Z,joomla,joomla!,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11326,2018-05-22T15:29Z,2018-06-22T16:16Z,joomla,joomla!,NETWORK,LOW,REQUIRED,HIGH,LOW,LOW,NONE
CVE-2018-11327,2018-05-22T15:29Z,2018-06-22T16:16Z,joomla,joomla!,NETWORK,LOW,NONE,LOW,LOW,NONE,NONE
CVE-2018-11328,2018-05-22T15:29Z,2018-06-22T16:17Z,joomla,joomla!,NETWORK,HIGH,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-11329,2018-05-22T05:29Z,2018-06-27T17:08Z,ethercartel,ether_cartel,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-1133,2018-05-25T12:29Z,2018-06-25T21:56Z,moodle,moodle,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11330,2018-05-21T21:29Z,2018-06-22T13:36Z,pluck-cms,pluck,NETWORK,LOW,REQUIRED,HIGH,LOW,LOW,NONE
CVE-2018-11331,2018-05-21T21:29Z,2018-06-22T13:36Z,pluck-cms,pluck,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-11332,2018-05-24T16:29Z,2018-06-25T15:41Z,clippercms,clippercms,NETWORK,LOW,REQUIRED,HIGH,LOW,LOW,NONE
CVE-2018-11334,2018-05-23T12:29Z,2018-06-26T14:08Z,windscribe,windscribe,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-11335,2018-07-04T00:29Z,2018-08-30T17:33Z,genesis_vision,gvtoken,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-11339,2018-05-22T01:29Z,2018-06-26T18:55Z,frappe,erpnext,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-1134,2018-05-25T12:29Z,2018-06-25T21:51Z,moodle,moodle,NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE
CVE-2018-11340,2018-05-22T01:29Z,2018-08-16T20:29Z,asustor,as6202t_firmware,NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-11341,2018-05-22T01:29Z,2018-08-16T20:29Z,asustor,as6202t_firmware,NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-11342,2018-05-22T01:29Z,2018-08-16T20:29Z,asustor,as6202t_firmware,NETWORK,LOW,NONE,LOW,NONE,LOW,NONE
CVE-2018-11343,2018-05-22T01:29Z,2018-08-16T20:29Z,asustor,soundsgood,NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE
CVE-2018-11344,2018-05-22T01:29Z,2018-08-16T20:29Z,asustor,as6202t_firmware,NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE
